n_samples,epsilon,run_idx,seed,dp_mse,dp_runtime_s,timestamp
1000,0.1,10,1000020,0.04316029268967772,0.47503695799969137,2025-10-08 18:00:31
1000,0.1,13,1000023,0.0868252908942113,0.4919318750035018,2025-10-08 18:00:31
1000,0.1,14,1000024,0.05568246364389709,0.4757295830058865,2025-10-08 18:00:32
1000,0.1,15,1000025,0.025191124003328933,0.4101964170113206,2025-10-08 18:00:32
1000,0.1,16,1000026,0.05970674861771081,0.4714736249879934,2025-10-08 18:00:32
1000,0.1,18,1000028,0.04962307764827686,0.22241904202383012,2025-10-08 18:00:32
1000,0.1,17,1000027,0.02278125543417154,0.3373235000181012,2025-10-08 18:00:32
1000,0.1,19,1000029,0.07348196553440144,0.25658883299911395,2025-10-08 18:00:32
1000,0.2,3,1000023,0.016631007347808518,0.397061291965656,2025-10-08 18:00:40
1000,0.2,6,1000026,0.010033972071669225,0.35406474996125326,2025-10-08 18:00:40
1000,0.2,7,1000027,0.0055923092796116404,0.5119482500012964,2025-10-08 18:00:40
1000,0.2,2,1000022,0.009261004900587832,0.6180725000449456,2025-10-08 18:00:40
1000,0.2,1,1000021,0.010450998645237129,0.6701835420099087,2025-10-08 18:00:40
1000,0.2,0,1000020,0.014301506335595616,0.6873140829848126,2025-10-08 18:00:40
1000,0.2,4,1000024,0.016104481986208057,0.5981847910443321,2025-10-08 18:00:40
1000,0.2,5,1000025,0.008880198459064407,0.6871113749803044,2025-10-08 18:00:40
1000,0.2,8,1000028,0.015648524440602756,0.6177319579874165,2025-10-08 18:00:40
1000,0.2,10,1000030,0.005158202940126707,0.5696428330265917,2025-10-08 18:00:41
1000,0.2,9,1000029,0.01600995719290298,0.7288432499626651,2025-10-08 18:00:41
1000,0.2,13,1000033,0.011593481649261165,0.5535270409891382,2025-10-08 18:00:41
1000,0.2,14,1000034,0.005998567818358957,0.5790468750055879,2025-10-08 18:00:41
1000,0.2,11,1000031,0.007906692130952733,0.5985863329842687,2025-10-08 18:00:41
1000,0.2,12,1000032,0.00820608776377732,0.6569336670218036,2025-10-08 18:00:41
1000,0.2,15,1000035,0.011792607078567368,0.5360790829872712,2025-10-08 18:00:41
1000,0.2,16,1000036,0.009728597946649467,0.506250916980207,2025-10-08 18:00:41
1000,0.2,18,1000038,0.013742093022014196,0.44952945900149643,2025-10-08 18:00:41
1000,0.2,19,1000039,0.020763324791545478,0.44203599996399134,2025-10-08 18:00:42
1000,0.2,17,1000037,0.03021048031083746,0.49791133403778076,2025-10-08 18:00:42
1000,0.5,0,1000050,0.0036404360648247193,0.5110202920041047,2025-10-08 18:00:48
1000,0.5,1,1000051,0.0033966474738554666,0.5002430829918012,2025-10-08 18:00:48
1000,0.5,2,1000052,0.001548124805219915,0.48576349997892976,2025-10-08 18:00:48
1000,0.5,5,1000055,0.0018232596678536064,0.35555816697888076,2025-10-08 18:00:48
1000,0.5,4,1000054,0.0023261714972534933,0.4686190419597551,2025-10-08 18:00:48
1000,0.5,3,1000053,0.0028728811415555827,0.5539610409759916,2025-10-08 18:00:48
1000,0.5,6,1000056,0.0012451441888792073,0.5081209589843638,2025-10-08 18:00:49
1000,0.5,7,1000057,0.0012669408054883213,0.5514648340176791,2025-10-08 18:00:49
1000,0.5,10,1000060,0.00197920441780892,0.5309934170218185,2025-10-08 18:00:49
1000,0.5,9,1000059,0.0016894632002984668,0.5445201660040766,2025-10-08 18:00:49
1000,0.5,8,1000058,0.0019493884790939412,0.5847356659942307,2025-10-08 18:00:49
1000,0.5,11,1000061,0.003068734476924966,0.5104462080053054,2025-10-08 18:00:49
1000,0.5,12,1000062,0.0011485347908779231,0.490970291022677,2025-10-08 18:00:49
1000,0.5,14,1000064,0.0014873143858726492,0.4534022079897113,2025-10-08 18:00:49
1000,0.5,13,1000063,0.002305100740938551,0.5917179160169326,2025-10-08 18:00:49
1000,0.5,15,1000065,0.002689303106475544,0.5165260410285555,2025-10-08 18:00:49
1000,0.5,18,1000068,0.0018244327269144628,0.46838474995456636,2025-10-08 18:00:49
1000,0.5,17,1000067,0.001576319730111433,0.48365637502865866,2025-10-08 18:00:49
1000,0.5,16,1000066,0.001516754728684869,0.4993340829969384,2025-10-08 18:00:49
1000,0.5,19,1000069,0.002811825917346843,0.46102758299093693,2025-10-08 18:00:49
1000,1.0,1,1000101,0.0004273174897444254,0.41120791697176173,2025-10-08 18:00:56
1000,1.0,2,1000102,0.0007221474174129744,0.5167367919930257,2025-10-08 18:00:56
1000,1.0,3,1000103,0.0004134445118997669,0.5515072499983944,2025-10-08 18:00:56
1000,1.0,0,1000100,0.0008052587644312794,0.5709880419890396,2025-10-08 18:00:56
1000,1.0,4,1000104,0.000370473395452944,0.5105745830223896,2025-10-08 18:00:56
1000,1.0,5,1000105,0.00033682202391568635,0.530343874997925,2025-10-08 18:00:56
1000,1.0,6,1000106,0.0007428180318538673,0.6049565419671126,2025-10-08 18:00:56
1000,1.0,7,1000107,0.0002689059648906725,0.5939058329677209,2025-10-08 18:00:56
1000,1.0,10,1000110,0.0005924355807741189,0.42086666700197384,2025-10-08 18:00:56
1000,1.0,9,1000109,0.0007409017801522049,0.4611081669572741,2025-10-08 18:00:56
1000,1.0,12,1000112,0.0009048654056927286,0.4155492500285618,2025-10-08 18:00:56
1000,1.0,8,1000108,0.00032483107944432697,0.6299537500017323,2025-10-08 18:00:56
1000,1.0,11,1000111,0.0006526381067793102,0.543315791990608,2025-10-08 18:00:56
1000,1.0,13,1000113,0.0003891858272803005,0.45308233302785084,2025-10-08 18:00:56
1000,1.0,14,1000114,0.0006275039702667295,0.39016879099654034,2025-10-08 18:00:56
1000,1.0,15,1000115,0.0005821399672022356,0.41265141597250476,2025-10-08 18:00:56
1000,1.0,16,1000116,0.0005661140277458608,0.31269975000759587,2025-10-08 18:00:56
1000,1.0,18,1000118,0.00036623312312534915,0.3279721669969149,2025-10-08 18:00:57
1000,1.0,17,1000117,0.0004304359980384449,0.36007191601675004,2025-10-08 18:00:57
1000,1.0,19,1000119,0.0006870436958189928,0.31507979199523106,2025-10-08 18:00:57
2000,0.1,1,2000011,0.01115157817590149,0.7732384160044603,2025-10-08 18:01:01
2000,0.1,0,2000010,0.013594012702034227,0.8775886669754982,2025-10-08 18:01:02
2000,0.1,2,2000012,0.010031452694928264,0.8618928330251947,2025-10-08 18:01:03
2000,0.1,5,2000015,0.012416190751367753,0.7854884999687783,2025-10-08 18:01:04
2000,0.1,3,2000013,0.014061391518597475,0.9731077090254985,2025-10-08 18:01:04
2000,0.1,6,2000016,0.01727110256118927,0.7689934999798425,2025-10-08 18:01:05
2000,0.1,4,2000014,0.017256830753472358,0.9422786250361241,2025-10-08 18:01:06
2000,0.1,7,2000017,0.0055385733168421105,0.868610167002771,2025-10-08 18:01:06
2000,0.1,8,2000018,0.00943808764162596,1.0896726659848355,2025-10-08 18:01:07
2000,0.1,9,2000019,0.017731474841709213,1.0758213750086725,2025-10-08 18:01:08
2000,0.1,10,2000020,0.025518448518258637,1.0363321250188164,2025-10-08 18:01:09
2000,0.1,12,2000022,0.011782610870709745,1.0115435000043362,2025-10-08 18:01:09
2000,0.1,11,2000021,0.017198574799560204,1.0782807089854032,2025-10-08 18:01:10
